City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,longyearbyen,78.2186,15.6401,-22.09,71,20,0.0,SJ,1712449836
1,carnarvon,-24.8667,113.6333,25.26,58,0,7.37,AU,1712450016
2,swakopmund,-22.6833,14.5333,14.43,81,1,1.34,NA,1712450016
3,utrik,11.2278,169.8474,27.02,75,100,8.87,MH,1712449843
4,vorgashor,67.5833,63.95,-9.55,93,100,7.14,RU,1712449957
5,huarmey,-10.0681,-78.1522,23.08,84,97,5.36,PE,1712449782
6,amravati,20.9333,77.75,29.15,23,86,1.62,IN,1712449938
7,varde,55.6211,8.4807,17.09,68,75,7.72,DK,1712450016
8,edinburgh of the seven seas,-37.0676,-12.3116,18.95,95,98,9.83,SH,1712450017
9,port-aux-francais,-49.35,70.2167,9.06,95,100,18.49,TF,1712450017
10,west island,-12.1568,96.8225,27.99,89,75,2.57,CC,1712449751
11,bethel,41.3712,-73.414,7.52,66,100,3.6,US,1712450018
12,puerto maldonado,-12.6,-69.1833,23.72,98,100,0.43,PE,1712450018
13,bredasdorp,-34.5322,20.0403,16.34,82,86,10.09,ZA,1712449768
14,saudarkrokur,65.7461,-19.6394,-3.28,77,100,11.15,IS,1712449888
15,chibougamau,49.9168,-74.3659,3.79,52,0,2.57,CA,1712450018
16,lauro de freitas,-12.8944,-38.3272,26.27,84,24,4.69,BR,1712450019
17,hobyo,5.3505,48.5268,27.85,72,99,5.37,SO,1712450019
18,loukhi,66.0764,33.0381,-11.35,95,14,3.0,RU,1712449882
19,volchansk,59.9378,60.081,-8.61,85,91,3.94,RU,1712450019
20,port lincoln,-34.7333,135.8667,15.99,62,100,2.94,AU,1712449827
21,am timan,11.0297,20.2827,28.0,60,71,2.13,TD,1712450019
22,puerto natales,-51.7236,-72.4875,4.51,70,38,7.2,CL,1712450020
23,waitangi,-43.9535,-176.5597,13.23,75,89,2.24,NZ,1712450020
24,thompson,55.7435,-97.8558,12.09,32,75,3.09,CA,1712449834
25,bay roberts,47.5999,-53.2648,1.85,95,96,3.58,CA,1712449875
26,adamstown,-25.066,-130.1015,22.82,71,20,3.84,PN,1712449757
